USA - Cases: 180271, Deaths: 3573, Recovered: 6241
Italy - Cases: 105792, Deaths: 12428, Recovered: 15729
Spain - Cases: 94417, Deaths: 8269, Recovered: 19259
Germany - Cases: 68180, Deaths: 682, Recovered: 15824
France - Cases: 52128, Deaths: 3523, Recovered: 9444
Iran - Cases: 44605, Deaths: 2898, Recovered: 14656
UK - Cases: 25150, Deaths: 1789, Recovered: 135
Switzerland - Cases: 16186, Deaths: 395, Recovered: 1823
Turkey - Cases: 13531, Deaths: 214, Recovered: 243
Belgium - Cases: 12775, Deaths: 705, Recovered: 1696
Netherlands - Cases: 12595, Deaths: 1039, Recovered: 250
Austria - Cases: 10122, Deaths: 128, Recovered: 1095
S. Korea - Cases: 9786, Deaths: 162, Recovered: 5408
Canada - Cases: 8467, Deaths: 95, Recovered: 1162
Portugal - Cases: 7443, Deaths: 160, Recovered: 43
Israel - Cases: 4831, Deaths: 20, Recovered: 163
Brazil - Cases: 4715, Deaths: 168, Recovered: 127
Norway - Cases: 4605, Deaths: 39, Recovered: 13
Australia - Cases: 4561, Deaths: 19, Recovered: 337
Sweden - Cases: 4435, Deaths: 180, Recovered: 16
Czechia - Cases: 3257, Deaths: 31, Recovered: 45
Ireland - Cases: 2910, Deaths: 54, Recovered: 5
Denmark - Cases: 2860, Deaths: 90, Recovered: 1
Malaysia - Cases: 2766, Deaths: 43, Recovered: 537
Chile - Cases: 2738, Deaths: 12, Recovered: 156
Russia - Cases: 2337, Deaths: 17, Recovered: 121
Poland - Cases: 2311, Deaths: 33, Recovered: 7
Romania - Cases: 2245, Deaths: 80, Recovered: 220
Ecuador - Cases: 2240, Deaths: 75, Recovered: 54
Luxembourg - Cases: 2178, Deaths: 23, Recovered: 80
Philippines - Cases: 2084, Deaths: 88, Recovered: 49
Japan - Cases: 1953, Deaths: 56, Recovered: 424
Pakistan - Cases: 1938, Deaths: 26, Recovered: 76
Thailand - Cases: 1651, Deaths: 10, Recovered: 342
Saudi Arabia - Cases: 1563, Deaths: 10, Recovered: 165
Indonesia - Cases: 1528, Deaths: 136, Recovered: 81
Finland - Cases: 1418, Deaths: 17, Recovered: 10
India - Cases: 1397, Deaths: 35, Recovered: 123
South Africa - Cases: 1353, Deaths: 3, Recovered: 31
Greece - Cases: 1314, Deaths: 49, Recovered: 52
Iceland - Cases: 1135, Deaths: 2, Recovered: 198
Dominican Republic - Cases: 1109, Deaths: 51, Recovered: 5
Mexico - Cases: 1094, Deaths: 28, Recovered: 35
Panama - Cases: 1075, Deaths: 27, Recovered: 9
Peru - Cases: 1065, Deaths: 24, Recovered: 53
Argentina - Cases: 966, Deaths: 26, Recovered: 240
Singapore - Cases: 926, Deaths: 3, Recovered: 240
Serbia - Cases: 900, Deaths: 23, Recovered: 42
Croatia - Cases: 867, Deaths: 6, Recovered: 67
Slovenia - Cases: 802, Deaths: 15, Recovered: 10
Colombia - Cases: 798, Deaths: 14, Recovered: 15
Qatar - Cases: 781, Deaths: 2, Recovered: 62
Estonia - Cases: 745, Deaths: 4, Recovered: 26
Algeria - Cases: 716, Deaths: 44, Recovered: 46
Hong Kong - Cases: 714, Deaths: 4, Recovered: 128
Diamond Princess - Cases: 712, Deaths: 10, Recovered: 603
Egypt - Cases: 710, Deaths: 46, Recovered: 157
Iraq - Cases: 694, Deaths: 50, Recovered: 170
UAE - Cases: 664, Deaths: 6, Recovered: 61
New Zealand - Cases: 647, Deaths: 1, Recovered: 74
Morocco - Cases: 602, Deaths: 36, Recovered: 24
Bahrain - Cases: 567, Deaths: 4, Recovered: 295
Ukraine - Cases: 549, Deaths: 13, Recovered: 8
Lithuania - Cases: 537, Deaths: 8, Recovered: 7
Armenia - Cases: 532, Deaths: 3, Recovered: 30
Hungary - Cases: 492, Deaths: 16, Recovered: 37
